AR_p,d,MA_q,SAR_P,D,SMA_Q,E,Box-Cox,IN_SAMPLE_MAPE,IN_SAMPLE_R2,IN_SAMPLE_MAE,AIC,IN_SAMPLE_TIME
2,0,0,0,0,2,12,False,0.06066673893375076,0.8990485801018003,0.32625664258617154,55.86637480039795,0.11777377128601074
1,0,2,0,0,0,12,False,0.06091396796489725,0.9032526045259074,0.332679988944541,61.29634546572041,0.009777069091796875
1,0,0,2,0,2,12,False,0.061017995086789116,0.8888504598461542,0.32539743422805456,59.655076431385446,0.174515962600708
2,0,0,2,0,2,12,False,0.06108301217575981,0.8934908488309872,0.3265837148875561,58.679608247142994,0.22056293487548828
2,0,0,1,0,0,12,False,0.06109026238171037,0.899702228584606,0.3328051152102821,59.54147157369758,0.047393798828125
2,0,0,2,0,1,12,False,0.06129793961465694,0.8907303514905194,0.3270147956039295,56.73287437198754,0.19366717338562012
2,0,0,2,0,0,12,False,0.06130201236349325,0.8907656753798144,0.3271417610940391,55.53820260938995,0.12073612213134766
2,0,1,0,0,0,12,False,0.061317276822030614,0.9023680578067503,0.3344865809820634,61.20763277211317,0.008269071578979492
1,0,0,0,0,1,12,False,0.061359726150835014,0.8906035349887312,0.331206088180458,56.8692619464769,0.04570484161376953
1,0,0,2,0,1,12,False,0.061682940933753705,0.8881050808559007,0.328393135907789,57.71819249935589,0.1738910675048828
2,0,0,0,0,1,12,False,0.06189071146031383,0.8928408120601214,0.33420784385017915,54.8611054249807,0.032293081283569336
2,0,0,0,0,0,12,False,0.06197675907654587,0.9007121008803907,0.33779951894747207,59.378452019964385,0.00847005844116211
1,0,0,2,0,0,12,False,0.06284558729298186,0.8866713926269502,0.33407681173682047,58.84430284243379,0.08496999740600586
1,0,0,1,0,0,12,False,0.06291868280798021,0.8959908684947929,0.34609561460359756,64.64359531363601,0.044085025787353516
1,0,0,0,0,0,12,False,0.06381486631761395,0.8974527312455418,0.35321257340790063,65.02820060885774,0.004806041717529297
2,1,1,2,0,0,12,False,0.069555898217573,0.8142635549564367,0.35744266871110125,54.13830031496094,0.20284175872802734
2,1,2,0,0,2,12,False,0.06964303252405607,0.8165135089960821,0.35851734096875737,55.47786007415519,0.15820598602294922
2,1,2,1,0,1,12,False,0.0696856347232709,0.8156630555180624,0.3598383026414953,55.77200664248328,0.11966705322265625
2,1,2,2,0,0,12,False,0.06979565035799812,0.8149714496981536,0.3586242516560627,55.77232685433905,0.22544288635253906
1,1,1,1,0,1,12,False,0.0698841489388413,0.8099838186896992,0.35933376117553245,54.26137835228016,0.06387615203857422
1,1,1,0,0,2,12,False,0.06988569616133757,0.8124150891671813,0.3576032162045737,53.6249019972964,0.13445401191711426
2,1,2,1,0,2,12,False,0.06988592374442064,0.8158820850460109,0.35906492548275115,56.881578302051246,0.24270272254943848
2,1,2,2,0,2,12,False,0.06996500669339462,0.815624774529162,0.3592412143944279,58.89711499030625,0.25532007217407227
1,1,2,1,0,2,12,False,0.07001048762084215,0.8138674279023902,0.35897902563134254,55.93792273562563,0.2488560676574707
1,1,1,1,0,2,12,False,0.07003274636619634,0.8119188386411741,0.3579662919257138,54.738871887151404,0.24713492393493652
2,1,1,1,0,2,12,False,0.07004741381637676,0.8143808014421441,0.359437299893881,55.72421038267432,0.2275073528289795
1,1,2,2,0,2,12,False,0.07007769634388235,0.8135710355843554,0.35904780909987905,57.882520535912136,0.2415010929107666
1,1,2,1,0,1,12,False,0.07011561893837849,0.8121540174276188,0.36096584692574013,55.47332939557311,0.11758995056152344
2,1,2,0,0,0,12,False,0.07031420333335538,0.8113872887123872,0.36306241496266023,58.141952803265944,0.0232388973236084
1,1,2,0,0,2,12,False,0.07038373611682615,0.8147050454466798,0.36118496380537685,54.69934969931881,0.1582949161529541
2,1,2,2,0,1,12,False,0.07039428147506054,0.8154119630252512,0.3610830905596855,57.09236228807286,0.2475719451904297
2,1,2,0,0,1,12,False,0.07039793400613398,0.8128628377333504,0.36353151019239344,54.37417274821694,0.07342290878295898
2,1,1,1,0,1,12,False,0.0704004679768747,0.8129680183414433,0.362442212188401,55.17286687867401,0.09581899642944336
1,1,2,2,0,1,12,False,0.07040506456499088,0.8137035645810292,0.3603030226888524,55.70064007874897,0.2094719409942627
2,1,1,2,0,2,12,False,0.07044101196042503,0.8140677509886678,0.3608364346639979,57.627156436460254,0.24682188034057617
0,1,2,1,0,1,12,False,0.07051769969296995,0.8104015820532852,0.36250989355279684,55.15350158055697,0.09098386764526367
1,1,1,0,0,1,12,False,0.07056237654827716,0.8069053151720449,0.36328492233026716,52.839944260431174,0.03787422180175781
0,1,2,1,0,2,12,False,0.07056467787941655,0.8117618470362531,0.36195219722787414,56.05097178179401,0.21120786666870117
1,1,1,2,0,0,12,False,0.07057802879772727,0.8111468256884096,0.36193501754694796,54.74657023180847,0.05752301216125488
1,1,2,0,0,1,12,False,0.07058107077459337,0.8089716373247726,0.36336674696953714,54.24871600466841,0.08888411521911621
